State,District,Rabi
Andhra Pradesh,KURNOOL,1
Andhra Pradesh,PRAKASAM,1
Bihar,ARARIA,1
Bihar,ARWAL,1
Bihar,AURANGABAD,1
Bihar,BANKA,1
Bihar,BEGUSARAI,1
Bihar,BHAGALPUR,1
Bihar,BHOJPUR,1
Bihar,BUXAR,1
Bihar,DARBHANGA,1
Bihar,GAYA,1
Bihar,GOPALGANJ,1
Bihar,JAMUI,1
Bihar,JEHANABAD,1
Bihar,KAIMUR,1
Bihar,KATIHAR,1
Bihar,KHAGARIA,1
Bihar,KISHANGANJ,1
Bihar,LAKHISARAI,1
Bihar,MADHEPURA,1
Bihar,MADHUBANI,1
Bihar,MUNGER,1
Bihar,MUZAFFARPUR,1
Bihar,NALANDA,1
Bihar,NAWADA,1
Bihar,PASHCHIM CHAMPARAN,1
Bihar,PATNA,1
Bihar,PURBI CHAMPARAN,1
Bihar,ROHTAS,1
Bihar,PURNIA,1
Bihar,SAHARSA,1
Bihar,SAMASTIPUR,1
Bihar,SARAN,1
Bihar,SHEIKHPURA,1
Bihar,SHEOHAR,1
Bihar,SITAMARHI,1
Bihar,SIWAN,1
Bihar,SUPAUL,1
Bihar,VAISHALI,1
Gujarat,AHMADABAD,1
Gujarat,AMRELI,1
Gujarat,ANAND,1
Gujarat,ARAVALLI,1
Gujarat,BANAS KANTHA,1
Gujarat,BHARUCH,1
Gujarat,BHAVNAGAR,1
Gujarat,BOTAD,1
Gujarat,CHHOTAUDEPUR,1
Gujarat,DANG,1
Gujarat,DEVBHUMI DWARKA,1
Gujarat,DOHAD,1
Gujarat,GANDHINAGAR,1
Gujarat,GIR SOMNATH,1
Gujarat,JAMNAGAR,1
Gujarat,JUNAGADH,1
Gujarat,KACHCHH,1
Gujarat,KHEDA,1
Gujarat,MAHESANA,1
Gujarat,MAHISAGAR,1
Gujarat,MORBI,1
Gujarat,NARMADA,1
Gujarat,NAVSARI,1
Gujarat,PANCH MAHALS,1
Gujarat,PATAN,1
Gujarat,PORBANDAR,1
Gujarat,RAJKOT,1
Gujarat,SABAR KANTHA,1
Gujarat,SURAT,1
Gujarat,SURENDRANAGAR,1
Gujarat,TAPI,1
Gujarat,VADODARA,1
Gujarat,VALSAD,1
Himachal Pradesh,BILASPUR,1
Himachal Pradesh,CHAMBA,1
Himachal Pradesh,HAMIRPUR,1
Himachal Pradesh,KANGRA,1
Himachal Pradesh,KINNAUR,1
Himachal Pradesh,KULLU,1
Himachal Pradesh,LAHUL AND SPITI,1
Himachal Pradesh,MANDI,1
Himachal Pradesh,SHIMLA,1
Himachal Pradesh,SIRMAUR,1
Himachal Pradesh,SOLAN,1
Himachal Pradesh,UNA,1
Karnataka,BAGALKOT,1
Karnataka,BANGALORE RURAL,1
Karnataka,BELGAUM,1
Karnataka,BELLARY,1
Karnataka,BENGALURU URBAN,1
Karnataka,BIDAR,1
Karnataka,BIJAPUR,1
Karnataka,CHAMARAJANAGAR,1
Karnataka,CHIKBALLAPUR,1
Karnataka,CHIKMAGALUR,1
Karnataka,CHITRADURGA,1
Karnataka,DAKSHIN KANNAD,1
Karnataka,DAVANGERE,1
Karnataka,DHARWAD,1
Karnataka,GADAG,1
Karnataka,GULBARGA,1
Karnataka,HASSAN,1
Karnataka,HAVERI,1
Karnataka,KODAGU,1
Karnataka,KOLAR,1
Karnataka,KOPPAL,1
Karnataka,MANDYA,1
Karnataka,MYSORE,1
Karnataka,RAICHUR,1
Karnataka,RAMANAGARA,1
Karnataka,SHIMOGA,1
Karnataka,TUMKUR,1
Karnataka,UDUPI,1
Karnataka,UTTAR KANNAD,1
Karnataka,YADGIR,1
Kerala,IDUKKI,1
Madhya Pradesh,AGAR MALWA,1
Madhya Pradesh,ALIRAJPUR,1
Madhya Pradesh,ANUPPUR,1
Madhya Pradesh,ASHOKNAGAR,1
Madhya Pradesh,BALAGHAT,1
Madhya Pradesh,BARWANI,1
Madhya Pradesh,BETUL,1
Madhya Pradesh,BHIND,1
Madhya Pradesh,BHOPAL,1
Madhya Pradesh,BURHANPUR,1
Madhya Pradesh,CHHATARPUR,1
Madhya Pradesh,CHHINDWARA,1
Madhya Pradesh,DAMOH,1
Madhya Pradesh,DATIA,1
Madhya Pradesh,DEWAS,1
Madhya Pradesh,DHAR,1
Madhya Pradesh,DINDORI,1
Madhya Pradesh,GUNA,1
Madhya Pradesh,GWALIOR,1
Madhya Pradesh,HARDA,1
Madhya Pradesh,HOSHANGABAD,1
Madhya Pradesh,INDORE,1
Madhya Pradesh,JABALPUR,1
Madhya Pradesh,JHABUA,1
Madhya Pradesh,KATNI,1
Madhya Pradesh,KHANDWA,1
Madhya Pradesh,KHARGONE,1
Madhya Pradesh,MANDLA,1
Madhya Pradesh,MANDSAUR,1
Madhya Pradesh,MORENA,1
Madhya Pradesh,NARSINGHPUR,1
Madhya Pradesh,NEEMUCH,1
Madhya Pradesh,NIWARI,1
Madhya Pradesh,PANNA,1
Madhya Pradesh,RAISEN,1
Madhya Pradesh,RAJGARH,1
Madhya Pradesh,RATLAM,1
Madhya Pradesh,REWA,1
Madhya Pradesh,SAGAR,1
Madhya Pradesh,SATNA,1
Madhya Pradesh,SEHORE,1
Madhya Pradesh,SEONI,1
Madhya Pradesh,SHAHDOL,1
Madhya Pradesh,SHAJAPUR,1
Madhya Pradesh,SHEOPUR,1
Madhya Pradesh,SHIVPURI,1
Madhya Pradesh,SIDHI,1
Madhya Pradesh,SINGRAULI,1
Madhya Pradesh,TIKAMGARH,1
Madhya Pradesh,UJJAIN,1
Madhya Pradesh,UMARIA,1
Madhya Pradesh,VIDISHA,1
Maharashtra,AHMEDNAGAR,1
Maharashtra,AKOLA,1
Maharashtra,AMRAVATI,1
Maharashtra,AURANGABAD,1
Maharashtra,BEED,1
Maharashtra,BHANDARA,1
Maharashtra,BULDHANA,1
Maharashtra,CHANDRAPUR,1
Maharashtra,DHULE,1
Maharashtra,GADCHIROLI,1
Maharashtra,GONDIA,1
Maharashtra,HINGOLI,1
Maharashtra,JALGAON,1
Maharashtra,JALNA,1
Maharashtra,KOLHAPUR,1
Maharashtra,LATUR,1
Maharashtra,NAGPUR,1
Maharashtra,NANDED,1
Maharashtra,NANDURBAR,1
Maharashtra,NASHIK,1
Maharashtra,OSMANABAD,1
Maharashtra,PALGHAR,1
Maharashtra,PARBHANI,1
Maharashtra,PUNE,1
Maharashtra,SANGLI,1
Maharashtra,SATARA,1
Maharashtra,SINDHUDURG,1
Maharashtra,SOLAPUR,1
Maharashtra,WARDHA,1
Maharashtra,WASHIM,1
Maharashtra,YAVATMAL,1
Manipur,BISHNUPUR,1
Manipur,CHANDEL,1
Manipur,CHURACHANDPUR,1
Manipur,IMPHAL EAST,1
Manipur,IMPHAL WEST,1
Manipur,SENAPATI,1
Manipur,TAMENGLONG,1
Manipur,THOUBAL,1
Manipur,UKHRUL,1
Meghalaya,EAST GARO HILLS,1
Meghalaya,NORTH GARO HILLS,1
Meghalaya,SOUTH WEST GARO HILLS,1
Meghalaya,WEST GARO HILLS,1
Meghalaya,WEST KHASI HILLS,1
Nagaland,DIMAPUR,1
Nagaland,KIPHIRE,1
Nagaland,KOHIMA,1
Nagaland,LONGLENG,1
Nagaland,MOKOKCHUNG,1
Nagaland,MON,1
Nagaland,PEREN,1
Nagaland,PHEK,1
Nagaland,TUENSANG,1
Nagaland,WOKHA,1
Nagaland,ZUNHEBOTO,1
Sikkim,EAST DISTRICT,1
Sikkim,NORTH DISTRICT,1
Telangana,ADILABAD,1
Telangana,KAMAREDDY,1
Telangana,KOMARAM BHEEM ASIFABAD,1
Telangana,MEDAK,1
Telangana,NIRMAL,1
Telangana,NIZAMABAD,1
Telangana,RANGAREDDI,1
Telangana,SANGAREDDY,1
Telangana,SIDDIPET,1
Telangana,VIKARABAD,1
Tripura,DHALAI,1
Tripura,GOMATI,1
Tripura,KHOWAI,1
Tripura,NORTH TRIPURA,1
Tripura,SEPAHIJALA,1
Tripura,SOUTH TRIPURA,1
Tripura,UNAKOTI,1
Tripura,WEST TRIPURA,1
Uttar Pradesh,AGRA,1
Uttar Pradesh,ALIGARH,1
Uttar Pradesh,ALLAHABAD,1
Uttar Pradesh,AMBEDKAR NAGAR,1
Uttar Pradesh,AMETHI,1
Uttar Pradesh,AMROHA,1
Uttar Pradesh,AURAIYA,1
Uttar Pradesh,AZAMGARH,1
Uttar Pradesh,BAGHPAT,1
Uttar Pradesh,BAHRAICH,1
Uttar Pradesh,BALLIA,1
Uttar Pradesh,BALRAMPUR,1
Uttar Pradesh,BANDA,1
Uttar Pradesh,BARABANKI,1
Uttar Pradesh,BAREILLY,1
Uttar Pradesh,BASTI,1
Uttar Pradesh,BIJNOR,1
Uttar Pradesh,BUDAUN,1
Uttar Pradesh,BULANDSHAHR,1
Uttar Pradesh,CHANDAULI,1
Uttar Pradesh,CHITRAKOOT,1
Uttar Pradesh,DEORIA,1
Uttar Pradesh,ETAH,1
Uttar Pradesh,ETAWAH,1
Uttar Pradesh,FAIZABAD,1
Uttar Pradesh,FARRUKHABAD,1
Uttar Pradesh,FATEHPUR,1
Uttar Pradesh,FIROZABAD,1
Uttar Pradesh,GAUTAM BUDDHA NAGAR,1
Uttar Pradesh,GHAZIABAD,1
Uttar Pradesh,GHAZIPUR,1
Uttar Pradesh,GONDA,1
Uttar Pradesh,GORAKHPUR,1
Uttar Pradesh,HAMIRPUR,1
Uttar Pradesh,HAPUR,1
Uttar Pradesh,HARDOI,1
Uttar Pradesh,HATHRAS,1
Uttar Pradesh,JALAUN,1
Uttar Pradesh,JAUNPUR,1
Uttar Pradesh,JHANSI,1
Uttar Pradesh,KANNAUJ,1
Uttar Pradesh,KANPUR DEHAT,1
Uttar Pradesh,KANPUR NAGAR,1
Uttar Pradesh,KASGANJ,1
Uttar Pradesh,KAUSHAMBI,1
Uttar Pradesh,KHERI,1
Uttar Pradesh,KUSHI NAGAR,1
Uttar Pradesh,LALITPUR,1
Uttar Pradesh,LUCKNOW,1
Uttar Pradesh,MAHARAJGANJ,1
Uttar Pradesh,MAHOBA,1
Uttar Pradesh,MAINPURI,1
Uttar Pradesh,MATHURA,1
Uttar Pradesh,MAU,1
Uttar Pradesh,MEERUT,1
Uttar Pradesh,MIRZAPUR,1
Uttar Pradesh,MORADABAD,1
Uttar Pradesh,MUZAFFARNAGAR,1
Uttar Pradesh,PILIBHIT,1
Uttar Pradesh,PRATAPGARH,1
Uttar Pradesh,RAE BARELI,1
Uttar Pradesh,RAMPUR,1
Uttar Pradesh,SAHARANPUR,1
Uttar Pradesh,SAMBHAL,1
Uttar Pradesh,SANT KABEER NAGAR,1
Uttar Pradesh,SANT RAVIDAS NAGAR,1
Uttar Pradesh,SHAHJAHANPUR,1
Uttar Pradesh,SHAMLI,1
Uttar Pradesh,SHRAVASTI,1
Uttar Pradesh,SIDDHARTH NAGAR,1
Uttar Pradesh,SITAPUR,1
Uttar Pradesh,SONBHADRA,1
Uttar Pradesh,SULTANPUR,1
Uttar Pradesh,UNNAO,1
Uttar Pradesh,VARANASI,1
Uttarakhand,ALMORA,1
Uttarakhand,BAGESHWAR,1
Uttarakhand,CHAMOLI,1
Uttarakhand,CHAMPAWAT,1
Uttarakhand,DEHRADUN,1
Uttarakhand,HARIDWAR,1
Uttarakhand,NAINITAL,1
Uttarakhand,PAURI GARHWAL,1
Uttarakhand,PITHORAGARH,1
Uttarakhand,RUDRA PRAYAG,1
Uttarakhand,TEHRI GARHWAL,1
Uttarakhand,UDAM SINGH NAGAR,1
Uttarakhand,UTTAR KASHI,1
West Bengal,24 PARAGANAS NORTH,1
West Bengal,24 PARAGANAS SOUTH,1
West Bengal,ALIPURDUAR,1
West Bengal,BANKURA,1
West Bengal,BIRBHUM,1
West Bengal,COOCHBEHAR,1
West Bengal,DARJEELING,1
West Bengal,DINAJPUR DAKSHIN,1
West Bengal,DINAJPUR UTTAR,1
West Bengal,HOOGHLY,1
West Bengal,HOWRAH,1
West Bengal,JALPAIGURI,1
West Bengal,JHARGRAM,1
West Bengal,KALIMPONG,1
West Bengal,MALDAH,1
West Bengal,MEDINIPUR EAST,1
West Bengal,MEDINIPUR WEST,1
West Bengal,PASCHIM BARDHAMAN,1
West Bengal,PURBA BARDHAMAN,1
West Bengal,PURULIA,1
